Info	Severity
3439 > 80 [SYN] Seq=1331429346 Win=512 Len=0	1
3440 > 80 [SYN] Seq=1099254757 Win=512 Len=0	1
3441 > 80 [SYN] Seq=1680700982 Win=512 Len=0	1
3442 > 80 [SYN] Seq=230557783 Win=512 Len=0	1
3443 > 80 [SYN] Seq=323433371 Win=512 Len=0	1
3444 > 80 [SYN] Seq=534930486 Win=512 Len=0	1
3445 > 80 [SYN] Seq=1242104601 Win=512 Len=0	1
3446 > 80 [SYN] Seq=1633930635 Win=512 Len=0	1
3447 > 80 [SYN] Seq=1324248510 Win=512 Len=0	1
3448 > 80 [SYN] Seq=2080376787 Win=512 Len=0	1
3449 > 80 [SYN] Seq=681908613 Win=512 Len=0	1
3450 > 80 [SYN] Seq=280911951 Win=512 Len=0	1
3451 > 80 [SYN] Seq=187385360 Win=512 Len=0	1
3452 > 80 [SYN] Seq=721180305 Win=512 Len=0	1
3453 > 80 [SYN] Seq=1772289021 Win=512 Len=0	1
3454 > 80 [SYN] Seq=335000475 Win=512 Len=0	1
3455 > 80 [SYN] Seq=1768336490 Win=512 Len=0	1
3456 > 80 [SYN] Seq=219379225 Win=512 Len=0	1
3457 > 80 [SYN] Seq=1143075231 Win=512 Len=0	1
3458 > 80 [SYN] Seq=207498831 Win=512 Len=0	1
3459 > 80 [SYN] Seq=709397444 Win=512 Len=0	1
3460 > 80 [SYN] Seq=196192689 Win=512 Len=0	1
3461 > 80 [SYN] Seq=252841821 Win=512 Len=0	1
3462 > 80 [SYN] Seq=1213945916 Win=512 Len=0	1
3463 > 80 [SYN] Seq=998132214 Win=512 Len=0	1
3464 > 80 [SYN] Seq=2062865530 Win=512 Len=0	1
3465 > 80 [SYN] Seq=864070589 Win=512 Len=0	1
3466 > 80 [SYN] Seq=863375315 Win=512 Len=0	1
3467 > 80 [SYN] Seq=1680157860 Win=512 Len=0	1
3468 > 80 [SYN] Seq=1210704445 Win=512 Len=0	1
3469 > 80 [SYN] Seq=809398582 Win=512 Len=0	1
3470 > 80 [SYN] Seq=1807669616 Win=512 Len=0	1
3471 > 80 [SYN] Seq=1009805009 Win=512 Len=0	1
3472 > 80 [SYN] Seq=96505743 Win=512 Len=0	1
3473 > 80 [SYN] Seq=1445813249 Win=512 Len=0	1
3474 > 80 [SYN] Seq=1086193602 Win=512 Len=0	1
3475 > 80 [SYN] Seq=1700060938 Win=512 Len=0	1
3476 > 80 [SYN] Seq=234552560 Win=512 Len=0	1
3477 > 80 [SYN] Seq=471082753 Win=512 Len=0	1
3478 > 80 [SYN] Seq=1586416379 Win=512 Len=0	1
3479 > 80 [SYN] Seq=1365962930 Win=512 Len=0	1
3480 > 80 [SYN] Seq=491631018 Win=512 Len=0	1
