Info	Severity
50722 > 53 [UDP] Seq=0 Win=0 Len=79	0
53 > 63926 [UDP] Seq=0 Win=0 Len=119	0
53473 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 50722 [UDP] Seq=0 Win=0 Len=139	0
53 > 53473 [UDP] Seq=0 Win=0 Len=172	0
49426 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 49426 [UDP] Seq=0 Win=0 Len=172	0
60777 > 53 [UDP] Seq=0 Win=0 Len=91	0
53 > 60777 [UDP] Seq=0 Win=0 Len=139	0
56471 > 53 [UDP] Seq=0 Win=0 Len=91	0
53 > 56471 [UDP] Seq=0 Win=0 Len=119	0
58396 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 58396 [UDP] Seq=0 Win=0 Len=172	0
62464 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 62464 [UDP] Seq=0 Win=0 Len=172	0
51607 > 53 [UDP] Seq=0 Win=0 Len=91	0
53 > 51607 [UDP] Seq=0 Win=0 Len=139	0
59319 > 53 [UDP] Seq=0 Win=0 Len=91	0
53 > 59319 [UDP] Seq=0 Win=0 Len=119	0
65506 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 65506 [UDP] Seq=0 Win=0 Len=172	0
58668 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 58668 [UDP] Seq=0 Win=0 Len=172	0
59024 > 53 [UDP] Seq=0 Win=0 Len=91	0
53 > 59024 [UDP] Seq=0 Win=0 Len=139	0
57544 > 53 [UDP] Seq=0 Win=0 Len=91	0
53 > 57544 [UDP] Seq=0 Win=0 Len=119	0
60725 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 60725 [UDP] Seq=0 Win=0 Len=172	0
60746 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 60746 [UDP] Seq=0 Win=0 Len=172	0
65105 > 53 [UDP] Seq=0 Win=0 Len=91	0
53 > 65105 [UDP] Seq=0 Win=0 Len=139	0
50819 > 53 [UDP] Seq=0 Win=0 Len=91	0
53 > 50819 [UDP] Seq=0 Win=0 Len=119	0
59834 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 59834 [UDP] Seq=0 Win=0 Len=172	0
63329 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 63329 [UDP] Seq=0 Win=0 Len=172	0
63416 > 53 [UDP] Seq=0 Win=0 Len=91	0
53 > 63416 [UDP] Seq=0 Win=0 Len=139	0
60037 > 53 [UDP] Seq=0 Win=0 Len=91	0
53 > 60037 [UDP] Seq=0 Win=0 Len=119	0
49270 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 49270 [UDP] Seq=0 Win=0 Len=172	0
50661 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 50661 [UDP] Seq=0 Win=0 Len=172	0
63586 > 53 [UDP] Seq=0 Win=0 Len=91	0
53 > 63586 [UDP] Seq=0 Win=0 Len=139	0
62473 > 53 [UDP] Seq=0 Win=0 Len=91	0
53 > 62473 [UDP] Seq=0 Win=0 Len=119	0
50183 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 50183 [UDP] Seq=0 Win=0 Len=172	0
62893 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 62893 [UDP] Seq=0 Win=0 Len=172	0
61088 > 53 [UDP] Seq=0 Win=0 Len=91	0
53 > 61088 [UDP] Seq=0 Win=0 Len=139	0
58650 > 53 [UDP] Seq=0 Win=0 Len=91	0
53 > 58650 [UDP] Seq=0 Win=0 Len=119	0
63630 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 63630 [UDP] Seq=0 Win=0 Len=172	0
58335 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 58335 [UDP] Seq=0 Win=0 Len=172	0
53498 > 53 [UDP] Seq=0 Win=0 Len=91	0
53 > 53498 [UDP] Seq=0 Win=0 Len=139	0
63909 > 53 [UDP] Seq=0 Win=0 Len=91	0
53 > 63909 [UDP] Seq=0 Win=0 Len=119	0
52424 > 53 [UDP] Seq=0 Win=0 Len=83	0
53 > 52424 [UDP] Seq=0 Win=0 Len=471	0
52690 > 53 [UDP] Seq=0 Win=0 Len=83	0
56465 > 53 [UDP] Seq=0 Win=0 Len=95	0
53 > 52690 [UDP] Seq=0 Win=0 Len=471	0
53 > 56465 [UDP] Seq=0 Win=0 Len=399	0
53565 > 53 [UDP] Seq=0 Win=0 Len=123	0
59230 > 53 [UDP] Seq=0 Win=0 Len=88	0
53 > 59230 [UDP] Seq=0 Win=0 Len=353	0
53 > 53565 [UDP] Seq=0 Win=0 Len=388	0
53821 > 53 [UDP] Seq=0 Win=0 Len=123	0
51033 > 53 [UDP] Seq=0 Win=0 Len=88	0
49708 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 49708 [UDP] Seq=0 Win=0 Len=172	0
63961 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 63961 [UDP] Seq=0 Win=0 Len=172	0
53037 > 53 [UDP] Seq=0 Win=0 Len=91	0
53 > 53037 [UDP] Seq=0 Win=0 Len=139	0
57947 > 53 [UDP] Seq=0 Win=0 Len=91	0
53 > 53821 [UDP] Seq=0 Win=0 Len=201	0
53 > 57947 [UDP] Seq=0 Win=0 Len=119	0
53 > 51033 [UDP] Seq=0 Win=0 Len=169	0
61038 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 61038 [UDP] Seq=0 Win=0 Len=172	0
54162 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 54162 [UDP] Seq=0 Win=0 Len=172	0
51923 > 53 [UDP] Seq=0 Win=0 Len=91	0
53 > 51923 [UDP] Seq=0 Win=0 Len=139	0
51257 > 53 [UDP] Seq=0 Win=0 Len=91	0
53 > 51257 [UDP] Seq=0 Win=0 Len=119	0
59149 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 59149 [UDP] Seq=0 Win=0 Len=172	0
56842 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 56842 [UDP] Seq=0 Win=0 Len=172	0
49760 > 53 [UDP] Seq=0 Win=0 Len=91	0
53 > 49760 [UDP] Seq=0 Win=0 Len=139	0
52832 > 53 [UDP] Seq=0 Win=0 Len=91	0
53619 > 53 [UDP] Seq=0 Win=0 Len=74	0
53 > 52832 [UDP] Seq=0 Win=0 Len=119	0
53 > 53619 [UDP] Seq=0 Win=0 Len=237	0
59925 > 53 [UDP] Seq=0 Win=0 Len=74	0
53 > 59925 [UDP] Seq=0 Win=0 Len=237	0
51393 > 53 [UDP] Seq=0 Win=0 Len=81	0
