Info	Severity
68 > 67 [UDP] Seq=0 Win=0 Len=342	0
67 > 68 [UDP] Seq=0 Win=0 Len=590	0
68 > 67 [UDP] Seq=0 Win=0 Len=342	0
67 > 68 [UDP] Seq=0 Win=0 Len=590	0
68 > 67 [UDP] Seq=0 Win=0 Len=350	0
67 > 68 [UDP] Seq=0 Win=0 Len=590	0
68 > 67 [UDP] Seq=0 Win=0 Len=342	0
67 > 68 [UDP] Seq=0 Win=0 Len=590	0
50126 > 53 [UDP] Seq=0 Win=0 Len=68	0
53 > 50126 [UDP] Seq=0 Win=0 Len=143	0
63964 > 5355 [UDP] Seq=0 Win=0 Len=64	0
63964 > 5355 [UDP] Seq=0 Win=0 Len=64	0
137 > 137 [UDP] Seq=0 Win=0 Len=92	0
137 > 137 [UDP] Seq=0 Win=0 Len=92	0
137 > 137 [UDP] Seq=0 Win=0 Len=92	0
55521 > 53 [UDP] Seq=0 Win=0 Len=76	0
53 > 55521 [UDP] Seq=0 Win=0 Len=182	0
52382 > 53 [UDP] Seq=0 Win=0 Len=76	0
53 > 52382 [UDP] Seq=0 Win=0 Len=182	0
60209 > 53 [UDP] Seq=0 Win=0 Len=84	0
53 > 60209 [UDP] Seq=0 Win=0 Len=389	0
53745 > 53 [UDP] Seq=0 Win=0 Len=84	0
53 > 53745 [UDP] Seq=0 Win=0 Len=389	0
63425 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 63425 [UDP] Seq=0 Win=0 Len=354	0
62447 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 62447 [UDP] Seq=0 Win=0 Len=170	0
55752 > 53 [UDP] Seq=0 Win=0 Len=87	0
53 > 55752 [UDP] Seq=0 Win=0 Len=299	0
56750 > 53 [UDP] Seq=0 Win=0 Len=87	0
53 > 56750 [UDP] Seq=0 Win=0 Len=299	0
64807 > 53 [UDP] Seq=0 Win=0 Len=93	0
53 > 64807 [UDP] Seq=0 Win=0 Len=278	0
61769 > 53 [UDP] Seq=0 Win=0 Len=93	0
53 > 61769 [UDP] Seq=0 Win=0 Len=175	0
49927 > 53 [UDP] Seq=0 Win=0 Len=77	0
53 > 49927 [UDP] Seq=0 Win=0 Len=125	0
60414 > 53 [UDP] Seq=0 Win=0 Len=77	0
53 > 60414 [UDP] Seq=0 Win=0 Len=125	0
59380 > 53 [UDP] Seq=0 Win=0 Len=78	0
53 > 59380 [UDP] Seq=0 Win=0 Len=94	0
59461 > 53 [UDP] Seq=0 Win=0 Len=78	0
53 > 59461 [UDP] Seq=0 Win=0 Len=146	0
55650 > 53 [UDP] Seq=0 Win=0 Len=86	0
53 > 55650 [UDP] Seq=0 Win=0 Len=345	0
65448 > 53 [UDP] Seq=0 Win=0 Len=86	0
53 > 65448 [UDP] Seq=0 Win=0 Len=345	0
54598 > 53 [UDP] Seq=0 Win=0 Len=92	0
53 > 54598 [UDP] Seq=0 Win=0 Len=325	0
62490 > 53 [UDP] Seq=0 Win=0 Len=92	0
53 > 62490 [UDP] Seq=0 Win=0 Len=174	0
56567 > 53 [UDP] Seq=0 Win=0 Len=92	0
60006 > 53 [UDP] Seq=0 Win=0 Len=76	0
53 > 56567 [UDP] Seq=0 Win=0 Len=396	0
55125 > 53 [UDP] Seq=0 Win=0 Len=92	0
53 > 60006 [UDP] Seq=0 Win=0 Len=171	0
53 > 55125 [UDP] Seq=0 Win=0 Len=396	0
52786 > 53 [UDP] Seq=0 Win=0 Len=76	0
59467 > 53 [UDP] Seq=0 Win=0 Len=88	0
53 > 52786 [UDP] Seq=0 Win=0 Len=171	0
53 > 59467 [UDP] Seq=0 Win=0 Len=353	0
55851 > 53 [UDP] Seq=0 Win=0 Len=86	0
51451 > 53 [UDP] Seq=0 Win=0 Len=88	0
55667 > 53 [UDP] Seq=0 Win=0 Len=83	0
53 > 55851 [UDP] Seq=0 Win=0 Len=102	0
53 > 55667 [UDP] Seq=0 Win=0 Len=134	0
59652 > 53 [UDP] Seq=0 Win=0 Len=86	0
61181 > 53 [UDP] Seq=0 Win=0 Len=83	0
53 > 59652 [UDP] Seq=0 Win=0 Len=142	0
53 > 61181 [UDP] Seq=0 Win=0 Len=134	0
60827 > 53 [UDP] Seq=0 Win=0 Len=75	0
53 > 60827 [UDP] Seq=0 Win=0 Len=107	0
55004 > 53 [UDP] Seq=0 Win=0 Len=75	0
53 > 55004 [UDP] Seq=0 Win=0 Len=103	0
52135 > 53 [UDP] Seq=0 Win=0 Len=79	0
53 > 51451 [UDP] Seq=0 Win=0 Len=173	0
53 > 52135 [UDP] Seq=0 Win=0 Len=151	0
55018 > 53 [UDP] Seq=0 Win=0 Len=79	0
53 > 55018 [UDP] Seq=0 Win=0 Len=151	0
60422 > 53 [UDP] Seq=0 Win=0 Len=80	0
53 > 60422 [UDP] Seq=0 Win=0 Len=128	0
62428 > 53 [UDP] Seq=0 Win=0 Len=80	0
53 > 62428 [UDP] Seq=0 Win=0 Len=108	0
57520 > 53 [UDP] Seq=0 Win=0 Len=77	0
53 > 57520 [UDP] Seq=0 Win=0 Len=184	0
49798 > 53 [UDP] Seq=0 Win=0 Len=77	0
53 > 49798 [UDP] Seq=0 Win=0 Len=184	0
59718 > 53 [UDP] Seq=0 Win=0 Len=79	0
53 > 59718 [UDP] Seq=0 Win=0 Len=111	0
65487 > 53 [UDP] Seq=0 Win=0 Len=79	0
53 > 65487 [UDP] Seq=0 Win=0 Len=141	0
51350 > 53 [UDP] Seq=0 Win=0 Len=72	0
53 > 51350 [UDP] Seq=0 Win=0 Len=164	0
51713 > 53 [UDP] Seq=0 Win=0 Len=72	0
53 > 51713 [UDP] Seq=0 Win=0 Len=164	0
49470 > 53 [UDP] Seq=0 Win=0 Len=79	0
53 > 49470 [UDP] Seq=0 Win=0 Len=111	0
57179 > 53 [UDP] Seq=0 Win=0 Len=79	0
53 > 57179 [UDP] Seq=0 Win=0 Len=139	0
59408 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 59408 [UDP] Seq=0 Win=0 Len=172	0
61807 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 61807 [UDP] Seq=0 Win=0 Len=172	0
61738 > 53 [UDP] Seq=0 Win=0 Len=91	0
53 > 61738 [UDP] Seq=0 Win=0 Len=139	0
59746 > 53 [UDP] Seq=0 Win=0 Len=91	0
53 > 59746 [UDP] Seq=0 Win=0 Len=119	0
56589 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 56589 [UDP] Seq=0 Win=0 Len=172	0
53691 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 53691 [UDP] Seq=0 Win=0 Len=172	0
58797 > 53 [UDP] Seq=0 Win=0 Len=91	0
53 > 58797 [UDP] Seq=0 Win=0 Len=139	0
54446 > 53 [UDP] Seq=0 Win=0 Len=91	0
53 > 54446 [UDP] Seq=0 Win=0 Len=119	0
52644 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 52644 [UDP] Seq=0 Win=0 Len=172	0
62625 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 62625 [UDP] Seq=0 Win=0 Len=172	0
55310 > 53 [UDP] Seq=0 Win=0 Len=91	0
