Info	Severity
55576 > 53 [UDP] Seq=0 Win=0 Len=76	0
53 > 55576 [UDP] Seq=0 Win=0 Len=164	0
55576 > 53 [UDP] Seq=0 Win=0 Len=76	0
53 > 55576 [UDP] Seq=0 Win=0 Len=165	0
33849 > 53 [UDP] Seq=0 Win=0 Len=75	0
53 > 33849 [UDP] Seq=0 Win=0 Len=166	0
33849 > 53 [UDP] Seq=0 Win=0 Len=75	0
50300 > 53 [UDP] Seq=0 Win=0 Len=79	0
50300 > 53 [UDP] Seq=0 Win=0 Len=79	0
53 > 33849 [UDP] Seq=0 Win=0 Len=130	0
53 > 50300 [UDP] Seq=0 Win=0 Len=199	0
53 > 50300 [UDP] Seq=0 Win=0 Len=131	0
54167 > 53 [UDP] Seq=0 Win=0 Len=97	0
37656 > 53 [UDP] Seq=0 Win=0 Len=75	0
37656 > 53 [UDP] Seq=0 Win=0 Len=75	0
36133 > 53 [UDP] Seq=0 Win=0 Len=75	0
36133 > 53 [UDP] Seq=0 Win=0 Len=75	0
34783 > 53 [UDP] Seq=0 Win=0 Len=85	0
34783 > 53 [UDP] Seq=0 Win=0 Len=85	0
53 > 54167 [UDP] Seq=0 Win=0 Len=142	0
54167 > 53 [UDP] Seq=0 Win=0 Len=97	0
42770 > 53 [UDP] Seq=0 Win=0 Len=83	0
42770 > 53 [UDP] Seq=0 Win=0 Len=83	0
53 > 37656 [UDP] Seq=0 Win=0 Len=103	0
53 > 37656 [UDP] Seq=0 Win=0 Len=107	0
53 > 34783 [UDP] Seq=0 Win=0 Len=130	0
53 > 34783 [UDP] Seq=0 Win=0 Len=142	0
53 > 36133 [UDP] Seq=0 Win=0 Len=107	0
53 > 36133 [UDP] Seq=0 Win=0 Len=103	0
53 > 54167 [UDP] Seq=0 Win=0 Len=154	0
53 > 42770 [UDP] Seq=0 Win=0 Len=166	0
53 > 42770 [UDP] Seq=0 Win=0 Len=130	0
34058 > 53 [UDP] Seq=0 Win=0 Len=74	0
34058 > 53 [UDP] Seq=0 Win=0 Len=74	0
51476 > 53 [UDP] Seq=0 Win=0 Len=79	0
51476 > 53 [UDP] Seq=0 Win=0 Len=79	0
58594 > 53 [UDP] Seq=0 Win=0 Len=75	0
58594 > 53 [UDP] Seq=0 Win=0 Len=75	0
53 > 34058 [UDP] Seq=0 Win=0 Len=170	0
53 > 34058 [UDP] Seq=0 Win=0 Len=102	0
53 > 58594 [UDP] Seq=0 Win=0 Len=166	0
53 > 58594 [UDP] Seq=0 Win=0 Len=130	0
53 > 51476 [UDP] Seq=0 Win=0 Len=131	0
53 > 51476 [UDP] Seq=0 Win=0 Len=199	0
39345 > 53 [UDP] Seq=0 Win=0 Len=75	0
58030 > 53 [UDP] Seq=0 Win=0 Len=85	0
58030 > 53 [UDP] Seq=0 Win=0 Len=85	0
55337 > 53 [UDP] Seq=0 Win=0 Len=85	0
55337 > 53 [UDP] Seq=0 Win=0 Len=85	0
47098 > 53 [UDP] Seq=0 Win=0 Len=79	0
47098 > 53 [UDP] Seq=0 Win=0 Len=79	0
53 > 39345 [UDP] Seq=0 Win=0 Len=192	0
39345 > 53 [UDP] Seq=0 Win=0 Len=75	0
53 > 58030 [UDP] Seq=0 Win=0 Len=130	0
53 > 55337 [UDP] Seq=0 Win=0 Len=130	0
53 > 55337 [UDP] Seq=0 Win=0 Len=142	0
53 > 47098 [UDP] Seq=0 Win=0 Len=199	0
53 > 47098 [UDP] Seq=0 Win=0 Len=131	0
53 > 58030 [UDP] Seq=0 Win=0 Len=142	0
55012 > 53 [UDP] Seq=0 Win=0 Len=75	0
55012 > 53 [UDP] Seq=0 Win=0 Len=75	0
39926 > 53 [UDP] Seq=0 Win=0 Len=75	0
39926 > 53 [UDP] Seq=0 Win=0 Len=75	0
53 > 39345 [UDP] Seq=0 Win=0 Len=124	0
53 > 39926 [UDP] Seq=0 Win=0 Len=166	0
48007 > 53 [UDP] Seq=0 Win=0 Len=89	0
48007 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 48007 [UDP] Seq=0 Win=0 Len=220	0
53 > 48007 [UDP] Seq=0 Win=0 Len=152	0
58820 > 53 [UDP] Seq=0 Win=0 Len=79	0
58820 > 53 [UDP] Seq=0 Win=0 Len=79	0
43041 > 53 [UDP] Seq=0 Win=0 Len=79	0
39705 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 43041 [UDP] Seq=0 Win=0 Len=199	0
43041 > 53 [UDP] Seq=0 Win=0 Len=79	0
53 > 58820 [UDP] Seq=0 Win=0 Len=120	0
53 > 58820 [UDP] Seq=0 Win=0 Len=132	0
53 > 39705 [UDP] Seq=0 Win=0 Len=220	0
53 > 43041 [UDP] Seq=0 Win=0 Len=131	0
53003 > 53 [UDP] Seq=0 Win=0 Len=81	0
53003 > 53 [UDP] Seq=0 Win=0 Len=81	0
34176 > 53 [UDP] Seq=0 Win=0 Len=79	0
34176 > 53 [UDP] Seq=0 Win=0 Len=79	0
53 > 53003 [UDP] Seq=0 Win=0 Len=204	0
53 > 53003 [UDP] Seq=0 Win=0 Len=136	0
33020 > 53 [UDP] Seq=0 Win=0 Len=89	0
53 > 34176 [UDP] Seq=0 Win=0 Len=131	0
53 > 34176 [UDP] Seq=0 Win=0 Len=199	0
53 > 33020 [UDP] Seq=0 Win=0 Len=220	0
33020 > 53 [UDP] Seq=0 Win=0 Len=89	0
43366 > 53 [UDP] Seq=0 Win=0 Len=79	0
53 > 33020 [UDP] Seq=0 Win=0 Len=152	0
53 > 43366 [UDP] Seq=0 Win=0 Len=199	0
58116 > 53 [UDP] Seq=0 Win=0 Len=79	0
58116 > 53 [UDP] Seq=0 Win=0 Len=79	0
55870 > 53 [UDP] Seq=0 Win=0 Len=81	0
48112 > 53 [UDP] Seq=0 Win=0 Len=87	0
48112 > 53 [UDP] Seq=0 Win=0 Len=87	0
34883 > 53 [UDP] Seq=0 Win=0 Len=79	0
34883 > 53 [UDP] Seq=0 Win=0 Len=79	0
55354 > 53 [UDP] Seq=0 Win=0 Len=87	0
55354 > 53 [UDP] Seq=0 Win=0 Len=87	0
53 > 58116 [UDP] Seq=0 Win=0 Len=199	0
53 > 58116 [UDP] Seq=0 Win=0 Len=131	0
53 > 55870 [UDP] Seq=0 Win=0 Len=204	0
55870 > 53 [UDP] Seq=0 Win=0 Len=81	0
53 > 48112 [UDP] Seq=0 Win=0 Len=103	0
53 > 34883 [UDP] Seq=0 Win=0 Len=199	0
53 > 34883 [UDP] Seq=0 Win=0 Len=131	0
53 > 55354 [UDP] Seq=0 Win=0 Len=144	0
53 > 55354 [UDP] Seq=0 Win=0 Len=132	0
53 > 55870 [UDP] Seq=0 Win=0 Len=136	0
50612 > 53 [UDP] Seq=0 Win=0 Len=79	0
53 > 50612 [UDP] Seq=0 Win=0 Len=199	0
46264 > 53 [UDP] Seq=0 Win=0 Len=79	0
46264 > 53 [UDP] Seq=0 Win=0 Len=79	0
53 > 46264 [UDP] Seq=0 Win=0 Len=131	0
53 > 46264 [UDP] Seq=0 Win=0 Len=199	0
52585 > 53 [UDP] Seq=0 Win=0 Len=79	0
52585 > 53 [UDP] Seq=0 Win=0 Len=79	0
53 > 52585 [UDP] Seq=0 Win=0 Len=199	0
53 > 52585 [UDP] Seq=0 Win=0 Len=131	0
54312 > 53 [UDP] Seq=0 Win=0 Len=79	0
53 > 54312 [UDP] Seq=0 Win=0 Len=199	0
54312 > 53 [UDP] Seq=0 Win=0 Len=79	0
53 > 54312 [UDP] Seq=0 Win=0 Len=131	0
48032 > 53 [UDP] Seq=0 Win=0 Len=79	0
48032 > 53 [UDP] Seq=0 Win=0 Len=79	0
51005 > 53 [UDP] Seq=0 Win=0 Len=85	0
51005 > 53 [UDP] Seq=0 Win=0 Len=85	0
53 > 51005 [UDP] Seq=0 Win=0 Len=142	0
53 > 48032 [UDP] Seq=0 Win=0 Len=199	0
53 > 48032 [UDP] Seq=0 Win=0 Len=131	0
39056 > 53 [UDP] Seq=0 Win=0 Len=75	0
39056 > 53 [UDP] Seq=0 Win=0 Len=75	0
39926 > 53 [UDP] Seq=0 Win=0 Len=75	0
49742 > 53 [UDP] Seq=0 Win=0 Len=79	0
49742 > 53 [UDP] Seq=0 Win=0 Len=79	0
53 > 39926 [UDP] Seq=0 Win=0 Len=166	0
39926 > 53 [UDP] Seq=0 Win=0 Len=75	0
53 > 49742 [UDP] Seq=0 Win=0 Len=199	0
53 > 49742 [UDP] Seq=0 Win=0 Len=131	0
53 > 39926 [UDP] Seq=0 Win=0 Len=130	0
59421 > 53 [UDP] Seq=0 Win=0 Len=79	0
53 > 59421 [UDP] Seq=0 Win=0 Len=199	0
59421 > 53 [UDP] Seq=0 Win=0 Len=79	0
53 > 59421 [UDP] Seq=0 Win=0 Len=131	0
48112 > 53 [UDP] Seq=0 Win=0 Len=87	0
39214 > 53 [UDP] Seq=0 Win=0 Len=79	0
39214 > 53 [UDP] Seq=0 Win=0 Len=79	0
53 > 48112 [UDP] Seq=0 Win=0 Len=103	0
48112 > 53 [UDP] Seq=0 Win=0 Len=87	0
41961 > 53 [UDP] Seq=0 Win=0 Len=80	0
41961 > 53 [UDP] Seq=0 Win=0 Len=80	0
53 > 39214 [UDP] Seq=0 Win=0 Len=199	0
53 > 39214 [UDP] Seq=0 Win=0 Len=131	0
53 > 48112 [UDP] Seq=0 Win=0 Len=115	0
53 > 41961 [UDP] Seq=0 Win=0 Len=132	0
53 > 41961 [UDP] Seq=0 Win=0 Len=144	0
59604 > 53 [UDP] Seq=0 Win=0 Len=71	0
53 > 59604 [UDP] Seq=0 Win=0 Len=103	0
37394 > 53 [UDP] Seq=0 Win=0 Len=80	0
45370 > 53 [UDP] Seq=0 Win=0 Len=79	0
45370 > 53 [UDP] Seq=0 Win=0 Len=79	0
53 > 45370 [UDP] Seq=0 Win=0 Len=129	0
53 > 45370 [UDP] Seq=0 Win=0 Len=141	0
53 > 37394 [UDP] Seq=0 Win=0 Len=96	0
37394 > 53 [UDP] Seq=0 Win=0 Len=80	0
53 > 37394 [UDP] Seq=0 Win=0 Len=161	0
50876 > 53 [UDP] Seq=0 Win=0 Len=87	0
53 > 50876 [UDP] Seq=0 Win=0 Len=103	0
50876 > 53 [UDP] Seq=0 Win=0 Len=87	0
57822 > 53 [UDP] Seq=0 Win=0 Len=75	0
57822 > 53 [UDP] Seq=0 Win=0 Len=75	0
53 > 50876 [UDP] Seq=0 Win=0 Len=115	0
53 > 57822 [UDP] Seq=0 Win=0 Len=136	0
53 > 57822 [UDP] Seq=0 Win=0 Len=201	0
60738 > 53 [UDP] Seq=0 Win=0 Len=80	0
60732 > 53 [UDP] Seq=0 Win=0 Len=80	0
60732 > 53 [UDP] Seq=0 Win=0 Len=80	0
34209 > 53 [UDP] Seq=0 Win=0 Len=80	0
33519 > 53 [UDP] Seq=0 Win=0 Len=77	0
44368 > 53 [UDP] Seq=0 Win=0 Len=87	0
44368 > 53 [UDP] Seq=0 Win=0 Len=87	0
53774 > 53 [UDP] Seq=0 Win=0 Len=79	0
53774 > 53 [UDP] Seq=0 Win=0 Len=79	0
53 > 60732 [UDP] Seq=0 Win=0 Len=217	0
53 > 60732 [UDP] Seq=0 Win=0 Len=183	0
53 > 33519 [UDP] Seq=0 Win=0 Len=129	0
33519 > 53 [UDP] Seq=0 Win=0 Len=77	0
53 > 34209 [UDP] Seq=0 Win=0 Len=183	0
34209 > 53 [UDP] Seq=0 Win=0 Len=80	0
53 > 44368 [UDP] Seq=0 Win=0 Len=103	0
53 > 60738 [UDP] Seq=0 Win=0 Len=183	0
60738 > 53 [UDP] Seq=0 Win=0 Len=80	0
53 > 44368 [UDP] Seq=0 Win=0 Len=115	0
59863 > 53 [UDP] Seq=0 Win=0 Len=80	0
59863 > 53 [UDP] Seq=0 Win=0 Len=80	0
58626 > 53 [UDP] Seq=0 Win=0 Len=75	0
58626 > 53 [UDP] Seq=0 Win=0 Len=75	0
53 > 33519 [UDP] Seq=0 Win=0 Len=141	0
53 > 34209 [UDP] Seq=0 Win=0 Len=217	0
53 > 60738 [UDP] Seq=0 Win=0 Len=217	0
55405 > 53 [UDP] Seq=0 Win=0 Len=79	0
42328 > 53 [UDP] Seq=0 Win=0 Len=76	0
53 > 58626 [UDP] Seq=0 Win=0 Len=136	0
53 > 58626 [UDP] Seq=0 Win=0 Len=201	0
53 > 59863 [UDP] Seq=0 Win=0 Len=183	0
53 > 59863 [UDP] Seq=0 Win=0 Len=217	0
53 > 55405 [UDP] Seq=0 Win=0 Len=199	0
55405 > 53 [UDP] Seq=0 Win=0 Len=79	0
53 > 42328 [UDP] Seq=0 Win=0 Len=133	0
42328 > 53 [UDP] Seq=0 Win=0 Len=76	0
53 > 55405 [UDP] Seq=0 Win=0 Len=131	0
53 > 42328 [UDP] Seq=0 Win=0 Len=180	0
51005 > 53 [UDP] Seq=0 Win=0 Len=85	0
59058 > 53 [UDP] Seq=0 Win=0 Len=75	0
53 > 51005 [UDP] Seq=0 Win=0 Len=130	0
51005 > 53 [UDP] Seq=0 Win=0 Len=85	0
53 > 59058 [UDP] Seq=0 Win=0 Len=136	0
59058 > 53 [UDP] Seq=0 Win=0 Len=75	0
55012 > 53 [UDP] Seq=0 Win=0 Len=75	0
55012 > 53 [UDP] Seq=0 Win=0 Len=75	0
53 > 51005 [UDP] Seq=0 Win=0 Len=142	0
53 > 59058 [UDP] Seq=0 Win=0 Len=201	0
53 > 55012 [UDP] Seq=0 Win=0 Len=171	0
53 > 55012 [UDP] Seq=0 Win=0 Len=103	0
40266 > 53 [UDP] Seq=0 Win=0 Len=79	0
40266 > 53 [UDP] Seq=0 Win=0 Len=79	0
53 > 40266 [UDP] Seq=0 Win=0 Len=199	0
50636 > 53 [UDP] Seq=0 Win=0 Len=75	0
50636 > 53 [UDP] Seq=0 Win=0 Len=75	0
53 > 50636 [UDP] Seq=0 Win=0 Len=103	0
53 > 50636 [UDP] Seq=0 Win=0 Len=107	0
40266 > 53 [UDP] Seq=0 Win=0 Len=79	0
53 > 40266 [UDP] Seq=0 Win=0 Len=199	0
40266 > 53 [UDP] Seq=0 Win=0 Len=79	0
53 > 40266 [UDP] Seq=0 Win=0 Len=131	0
38212 > 53 [UDP] Seq=0 Win=0 Len=81	0
38212 > 53 [UDP] Seq=0 Win=0 Len=81	0
53 > 38212 [UDP] Seq=0 Win=0 Len=204	0
53 > 38212 [UDP] Seq=0 Win=0 Len=136	0
46767 > 53 [UDP] Seq=0 Win=0 Len=81	0
46767 > 53 [UDP] Seq=0 Win=0 Len=81	0
53 > 46767 [UDP] Seq=0 Win=0 Len=204	0
53 > 46767 [UDP] Seq=0 Win=0 Len=136	0
46964 > 53 [UDP] Seq=0 Win=0 Len=75	0
46964 > 53 [UDP] Seq=0 Win=0 Len=75	0
53 > 46964 [UDP] Seq=0 Win=0 Len=103	0
53 > 46964 [UDP] Seq=0 Win=0 Len=107	0
36157 > 53 [UDP] Seq=0 Win=0 Len=74	0
36157 > 53 [UDP] Seq=0 Win=0 Len=74	0
53 > 36157 [UDP] Seq=0 Win=0 Len=170	0
53 > 36157 [UDP] Seq=0 Win=0 Len=102	0
39667 > 53 [UDP] Seq=0 Win=0 Len=79	0
39667 > 53 [UDP] Seq=0 Win=0 Len=79	0
53 > 39667 [UDP] Seq=0 Win=0 Len=199	0
53 > 39667 [UDP] Seq=0 Win=0 Len=131	0
45261 > 53 [UDP] Seq=0 Win=0 Len=75	0
45261 > 53 [UDP] Seq=0 Win=0 Len=75	0
55107 > 53 [UDP] Seq=0 Win=0 Len=75	0
53 > 55107 [UDP] Seq=0 Win=0 Len=166	0
53 > 45261 [UDP] Seq=0 Win=0 Len=166	0
53 > 45261 [UDP] Seq=0 Win=0 Len=130	0
47390 > 53 [UDP] Seq=0 Win=0 Len=79	0
47390 > 53 [UDP] Seq=0 Win=0 Len=79	0
33242 > 53 [UDP] Seq=0 Win=0 Len=79	0
53 > 47390 [UDP] Seq=0 Win=0 Len=199	0
53 > 47390 [UDP] Seq=0 Win=0 Len=131	0
53 > 33242 [UDP] Seq=0 Win=0 Len=199	0
49559 > 53 [UDP] Seq=0 Win=0 Len=81	0
49559 > 53 [UDP] Seq=0 Win=0 Len=81	0
53 > 49559 [UDP] Seq=0 Win=0 Len=204	0
53 > 49559 [UDP] Seq=0 Win=0 Len=136	0
50118 > 53 [UDP] Seq=0 Win=0 Len=75	0
50118 > 53 [UDP] Seq=0 Win=0 Len=75	0
43866 > 53 [UDP] Seq=0 Win=0 Len=75	0
53 > 50118 [UDP] Seq=0 Win=0 Len=166	0
53 > 50118 [UDP] Seq=0 Win=0 Len=130	0
53 > 43866 [UDP] Seq=0 Win=0 Len=166	0
52770 > 53 [UDP] Seq=0 Win=0 Len=87	0
